class_name,class_label,landmark_0_x,landmark_0_y,landmark_0_z,landmark_1_x,landmark_1_y,landmark_1_z,landmark_2_x,landmark_2_y,landmark_2_z,landmark_3_x,landmark_3_y,landmark_3_z,landmark_4_x,landmark_4_y,landmark_4_z,landmark_5_x,landmark_5_y,landmark_5_z,landmark_6_x,landmark_6_y,landmark_6_z,landmark_7_x,landmark_7_y,landmark_7_z,landmark_8_x,landmark_8_y,landmark_8_z,landmark_9_x,landmark_9_y,landmark_9_z,landmark_10_x,landmark_10_y,landmark_10_z,landmark_11_x,landmark_11_y,landmark_11_z,landmark_12_x,landmark_12_y,landmark_12_z,landmark_13_x,landmark_13_y,landmark_13_z,landmark_14_x,landmark_14_y,landmark_14_z,landmark_15_x,landmark_15_y,landmark_15_z,landmark_16_x,landmark_16_y,landmark_16_z,landmark_17_x,landmark_17_y,landmark_17_z,landmark_18_x,landmark_18_y,landmark_18_z,landmark_19_x,landmark_19_y,landmark_19_z,landmark_20_x,landmark_20_y,landmark_20_z
யொ,160,0.71674097,0.7717654,-5.378248e-07,0.6538866,0.7166754,-0.024053454,0.6136838,0.61385286,-0.04171472,0.64971066,0.54011816,-0.058224123,0.7242005,0.5491754,-0.068633154,0.67834204,0.49906465,-0.035335656,0.6571164,0.4372311,-0.06589657,0.6493935,0.4991276,-0.07918895,0.65489566,0.5420642,-0.08797094,0.73009175,0.5022196,-0.037770722,0.710642,0.45468768,-0.073793344,0.69304746,0.5359562,-0.077670276,0.69472414,0.57423204,-0.07619657,0.77746385,0.52636695,-0.04466114,0.7709439,0.48686376,-0.08193142,0.7349018,0.55803204,-0.07837569,0.7163099,0.6072693,-0.06939992,0.82030165,0.56150293,-0.053770963,0.8623273,0.4890068,-0.08739291,0.8924565,0.43941876,-0.10170982,0.9230943,0.38543695,-0.10819766
மி,141,0.26155818,0.6168213,4.5518865e-07,0.33397475,0.58216524,-0.042727638,0.38408113,0.5033993,-0.06118817,0.42794704,0.43431747,-0.07650037,0.46701157,0.38570046,-0.09041868,0.33543053,0.38857326,-0.052953064,0.35759586,0.2759293,-0.08348596,0.3712127,0.20959733,-0.10066483,0.37958956,0.1476805,-0.11190315,0.28336146,0.3792789,-0.052497823,0.2741111,0.26867944,-0.09436906,0.27514607,0.19088943,-0.11850821,0.27231833,0.12277159,-0.13232297,0.2376502,0.39795566,-0.05575845,0.21424556,0.32641828,-0.10470023,0.23377785,0.38543564,-0.116497464,0.25349,0.43134996,-0.11348858,0.19860396,0.43343657,-0.06215203,0.17367528,0.36462262,-0.09814799,0.1565825,0.32198784,-0.10959124,0.14374746,0.27655452,-0.11301207
சீ,58,0.6835816,0.47852725,4.7130925e-07,0.6114097,0.4648689,-0.022913877,0.54557884,0.39842963,-0.03494725,0.50546956,0.34145212,-0.046824485,0.46330342,0.30020472,-0.05707495,0.5914059,0.31735045,-0.04750125,0.5633187,0.20900518,-0.07263319,0.5504813,0.15512392,-0.08210578,0.5418503,0.104901224,-0.08756392,0.6424846,0.30490953,-0.053748414,0.6415334,0.23331074,-0.08570845,0.64293426,0.17891705,-0.09842804,0.6467331,0.1325405,-0.10420093,0.6884941,0.31752405,-0.060750395,0.6778634,0.35854816,-0.09774508,0.6575763,0.42606658,-0.10027981,0.646229,0.4726231,-0.09390491,0.7225243,0.34599692,-0.06929153,0.7126236,0.39587688,-0.0966299,0.69365627,0.4447748,-0.09652283,0.6824164,0.47708887,-0.09121611
ஞூ,72,0.2237697,0.6723765,-1.622492e-07,0.26939726,0.6685927,-0.018748965,0.3221417,0.6154595,-0.027268087,0.34012952,0.55730724,-0.035252195,0.3103685,0.5177399,-0.040032987,0.31758285,0.52363443,0.003441003,0.338037,0.4815388,-0.014155558,0.33046362,0.518782,-0.028546505,0.32081723,0.54797935,-0.03570084,0.2883171,0.50300735,-0.0007685631,0.31295136,0.4555636,-0.02781694,0.30642733,0.5094393,-0.041813873,0.2970238,0.5589619,-0.04153631,0.25416484,0.4915814,-0.010170529,0.27142957,0.43932855,-0.029940534,0.2922092,0.42373574,-0.041276015,0.30901614,0.4109444,-0.04337481,0.21802042,0.4902557,-0.021385908,0.22603437,0.42116112,-0.027599756,0.23057628,0.37691867,-0.029233808,0.23469193,0.33388907,-0.030020684
ஒ,9,0.16301751,0.8419111,3.5301488e-07,0.18131612,0.74704856,-0.054445244,0.22723895,0.6754003,-0.12304099,0.30514354,0.66624343,-0.1817312,0.36394697,0.69949394,-0.23778546,0.14401239,0.62755036,-0.16525207,0.2772985,0.60150504,-0.24279693,0.30742055,0.63347167,-0.2832239,0.30615473,0.6632803,-0.3070395,0.15443513,0.70787084,-0.17429875,0.300381,0.65520585,-0.24879149,0.31667608,0.68858355,-0.25897467,0.30387613,0.7081902,-0.26362482,0.18023422,0.7847922,-0.18454659,0.3169334,0.72147566,-0.23684007,0.32921082,0.7187858,-0.22303861,0.31425655,0.70916605,-0.21215601,0.21290363,0.8514151,-0.19942375,0.32135442,0.79611254,-0.23282105,0.3367728,0.78241706,-0.2249149,0.32759988,0.7702813,-0.21931465
தௌ,114,0.16707042,0.5617597,7.769983e-07,0.22054529,0.539502,-0.040340815,0.26496673,0.47093478,-0.06062529,0.3012446,0.40733498,-0.07527825,0.34120965,0.3633074,-0.09307209,0.21738927,0.3768262,-0.06480143,0.2492261,0.29628783,-0.09671031,0.27011007,0.242121,-0.11971958,0.28909647,0.1932911,-0.13760844,0.17249188,0.37088326,-0.06772194,0.17333503,0.27906394,-0.100938044,0.17553422,0.2168473,-0.1288399,0.18018855,0.16260445,-0.15014637,0.1320568,0.39495707,-0.072345175,0.118227586,0.31393665,-0.11412295,0.112544864,0.26511082,-0.14112279,0.11020275,0.22064489,-0.1599985,0.09560997,0.43724772,-0.07837774,0.07555862,0.4179936,-0.11962471,0.0756966,0.44411224,-0.13439386,0.08185053,0.46759778,-0.1432179
ஙி,45,0.55096143,0.63781434,2.1743016e-07,0.47951195,0.60680443,-0.034255125,0.40425915,0.5687347,-0.07335758,0.3451743,0.55777353,-0.11263607,0.2931732,0.57766527,-0.15347499,0.4581799,0.54881287,-0.056006078,0.43546402,0.50319195,-0.09481825,0.43945625,0.5069998,-0.12626536,0.4449813,0.5228926,-0.14544524,0.50757444,0.5650034,-0.057959296,0.502426,0.5509806,-0.08611405,0.50470895,0.56850654,-0.10293231,0.50850666,0.5870072,-0.11814285,0.555464,0.5933778,-0.061880276,0.5556924,0.58510137,-0.087737955,0.54650396,0.5987448,-0.08890886,0.53789276,0.61347175,-0.088710025,0.5972635,0.6287565,-0.06952404,0.59858906,0.6345622,-0.08081764,0.59226584,0.64974016,-0.07116627,0.5850088,0.66074437,-0.0653806
லை,183,0.7811841,0.84060526,-7.309171e-07,0.6785359,0.78838325,-0.040556896,0.6181229,0.6743394,-0.05600685,0.5837624,0.58407927,-0.06772948,0.5410483,0.5192653,-0.074581765,0.7153746,0.5588663,-0.03893722,0.6727897,0.59524745,-0.073103294,0.67181283,0.67587763,-0.08790709,0.689062,0.6855553,-0.09647202,0.7704194,0.59031427,-0.039201323,0.7131549,0.64240134,-0.06858425,0.6973421,0.7157048,-0.06942363,0.7125734,0.7144654,-0.06902677,0.8093765,0.64749604,-0.046587538,0.74805987,0.7092542,-0.07698882,0.72722125,0.7617968,-0.06472987,0.74159247,0.7460864,-0.053377163,0.82962716,0.71698487,-0.05829785,0.77858293,0.76619387,-0.07472625,0.7535081,0.7934766,-0.06580837,0.76150566,0.7813784,-0.057513632
தே,110,0.5846575,0.7609712,5.107007e-07,0.5163267,0.7081771,-0.038678665,0.46425328,0.5998814,-0.05940412,0.42812234,0.5078962,-0.0761457,0.38314614,0.44342884,-0.09452177,0.522964,0.4977457,-0.0641365,0.51453805,0.36638024,-0.096902385,0.50927806,0.2901999,-0.11740041,0.5049958,0.22186011,-0.13369632,0.57992625,0.5055384,-0.071122415,0.60399157,0.36343735,-0.10176118,0.6218843,0.27932045,-0.12313628,0.63748866,0.20399496,-0.14063914,0.62551725,0.5416499,-0.08146417,0.6593143,0.42271212,-0.1206919,0.67869747,0.34200633,-0.14405398,0.69428676,0.26556468,-0.1610289,0.6638156,0.59742403,-0.09376215,0.71637654,0.5338323,-0.13448144,0.7502184,0.48204118,-0.1528988,0.7778711,0.43055743,-0.16585627
ர்,24,0.22870508,0.84018576,1.9146894e-07,0.3411746,0.78189653,-0.0129880365,0.41411906,0.69789505,-0.032989033,0.48647147,0.62910736,-0.06258339,0.53629494,0.59757864,-0.090641655,0.35560918,0.53268975,-0.025454508,0.37766212,0.41804224,-0.084298864,0.4058497,0.4434361,-0.1237942,0.42524937,0.48808357,-0.14357483,0.30236354,0.5329201,-0.0491429,0.3038653,0.38935047,-0.111550115,0.30820578,0.30533615,-0.15679863,0.3026362,0.23923683,-0.18688892,0.2562287,0.5686079,-0.07559147,0.24683744,0.47061455,-0.14020449,0.29653424,0.5439935,-0.15814756,0.3321317,0.6108049,-0.15771087,0.21022768,0.6226692,-0.102598704,0.20803273,0.546623,-0.14461254,0.24893735,0.5898088,-0.14626577,0.2824987,0.63846654,-0.14077976
