class_name,class_label,landmark_0_x,landmark_0_y,landmark_0_z,landmark_1_x,landmark_1_y,landmark_1_z,landmark_2_x,landmark_2_y,landmark_2_z,landmark_3_x,landmark_3_y,landmark_3_z,landmark_4_x,landmark_4_y,landmark_4_z,landmark_5_x,landmark_5_y,landmark_5_z,landmark_6_x,landmark_6_y,landmark_6_z,landmark_7_x,landmark_7_y,landmark_7_z,landmark_8_x,landmark_8_y,landmark_8_z,landmark_9_x,landmark_9_y,landmark_9_z,landmark_10_x,landmark_10_y,landmark_10_z,landmark_11_x,landmark_11_y,landmark_11_z,landmark_12_x,landmark_12_y,landmark_12_z,landmark_13_x,landmark_13_y,landmark_13_z,landmark_14_x,landmark_14_y,landmark_14_z,landmark_15_x,landmark_15_y,landmark_15_z,landmark_16_x,landmark_16_y,landmark_16_z,landmark_17_x,landmark_17_y,landmark_17_z,landmark_18_x,landmark_18_y,landmark_18_z,landmark_19_x,landmark_19_y,landmark_19_z,landmark_20_x,landmark_20_y,landmark_20_z
யொ,160,1.4060904,1.2425562,-1.383143,1.3497328,1.1315246,0.43164173,1.3058958,0.7875656,0.37664384,1.5800765,0.51901156,0.33627874,1.9835507,0.7329344,0.4324793,1.4649277,0.66749316,0.43270284,1.4304477,0.50350595,0.39545274,1.4029778,0.90192807,0.49506563,1.4262019,1.1033702,0.53206897,1.5065496,0.6934864,0.5042359,1.4733181,0.4607807,0.37406668,1.396258,0.8286091,0.61587757,1.3795545,0.96492213,0.7705292,1.5350728,0.6982401,0.5198032,1.5535175,0.43104026,0.3695538,1.4394,0.7332821,0.5780152,1.3616791,0.9232162,0.70238423,1.5639075,0.6710971,0.51000184,1.710222,0.19082436,0.2300235,1.8223478,-0.13064225,-0.074114606,1.9111049,-0.3539582,-0.24071856
மி,141,-0.47612283,0.031435166,0.7325666,-0.32257012,-0.023180049,-0.940203,-0.16893673,-0.19472888,-0.48306385,0.062930934,-0.36672312,-0.25289837,0.30649897,-0.49542606,-0.11445228,-0.31967568,-0.2954253,-0.15890078,-0.26254606,-0.7083763,-0.057944067,-0.2119535,-0.9295595,0.0069643133,-0.16850862,-1.0349805,0.028535688,-0.42926988,-0.3526327,-0.00015223745,-0.5220987,-0.83756983,-0.1599605,-0.5340085,-1.0674522,-0.3523209,-0.54224104,-1.128522,-0.44630864,-0.49585608,-0.37808934,0.13369471,-0.618012,-0.722339,-0.24942094,-0.57337576,-0.31320405,-0.3681229,-0.5060317,0.002103716,-0.2699715,-0.53842425,-0.37895426,0.22814183,-0.61789435,-0.7418698,-0.069127165,-0.6788905,-0.91717476,-0.27834755,-0.714462,-1.0065567,-0.35540062
சீ,58,1.2689741,-1.0495404,0.76691306,1.1276897,-1.0301123,0.5153575,0.8684295,-1.1282538,0.675412,0.5932837,-1.1441666,0.70377237,0.28231922,-1.1378462,0.7226511,1.012489,-0.91612303,0.02417453,0.90027064,-1.2111863,0.22180474,0.82876,-1.2741431,0.4287723,0.77138686,-1.2669301,0.5406328,1.1269209,-0.9854516,-0.042983703,1.1574173,-1.0844458,0.0648192,1.1647875,-1.1332377,0.12374604,1.1612124,-1.0832231,0.163386,1.2003438,-1.0522583,-0.039989915,1.1904358,-0.4913699,-0.060343865,1.1288204,-0.06685062,0.03438045,1.0788676,0.21820967,0.16193755,1.2332637,-1.0958961,-0.01196357,1.2041208,-0.5075098,-0.026901865,1.1466252,-0.09476837,0.060297024,1.1002773,0.19536743,0.16379206
ஞூ,72,-0.63238084,0.4656827,-0.5829434,-0.6601416,0.71875775,0.8213207,-0.5667991,0.80185395,1.0144292,-0.53785276,0.6629139,1.0768319,-0.7149234,0.4967262,1.1504942,-0.4125598,0.88161564,1.7348473,-0.37309945,0.83639574,1.7291663,-0.44851533,1.0262564,1.6460612,-0.5089473,1.1354423,1.6318309,-0.40779552,0.7001893,1.771522,-0.34455684,0.46689472,1.5673496,-0.38952184,0.6829048,1.4659724,-0.42983997,0.8941139,1.5219747,-0.43372336,0.4066715,1.7198343,-0.39495268,0.08932841,1.7829366,-0.33868486,-0.08098296,1.498786,-0.28195587,-0.10473967,1.2763566,-0.4727656,0.08692153,1.5991293,-0.4408847,-0.31791613,1.89316,-0.42738542,-0.5492573,1.8039726,-0.4080762,-0.662916,1.6215035
ஒ,9,-0.88359547,1.7908499,0.5148757,-1.1205758,1.3922634,-1.8010031,-1.1763985,1.3349243,-3.2137227,-0.7772015,1.5748982,-3.645257,-0.36555427,1.8624372,-3.814135,-1.3158671,1.7872298,-3.9299717,-0.71641445,1.7377183,-4.1644583,-0.5822879,1.7517512,-4.1422167,-0.5938798,1.7606046,-4.0771294,-0.9879473,2.4434001,-4.1717095,-0.4020169,1.8604114,-4.1678777,-0.34218335,1.6672608,-3.6825435,-0.39866433,1.5860927,-3.2929742,-0.7118709,2.8643322,-4.347228,-0.21745458,2.1175725,-3.8416693,-0.19006707,1.7079642,-3.0123503,-0.26080817,1.4567469,-2.446038,-0.49006853,3.048167,-4.388383,-0.11863758,2.4936557,-3.8150356,-0.06642305,2.1667025,-3.266755,-0.09507558,1.9526479,-2.8875914
தௌ,114,-0.86683637,-0.39895377,1.4182127,-0.9155097,-0.3894231,-0.764862,-0.93405753,-0.4834451,-0.45821398,-0.80387527,-0.59261316,-0.21350054,-0.51381755,-0.663689,-0.18106674,-0.933994,-0.39779946,-0.55677634,-0.87508947,-0.55541986,-0.3988244,-0.79888755,-0.72382396,-0.42610976,-0.6926898,-0.7876796,-0.512303,-0.9097019,-0.42407236,-0.5215627,-0.982754,-0.7650853,-0.33045352,-0.9941108,-0.9248198,-0.5972677,-0.96139866,-0.9438151,-0.8327256,-0.89312774,-0.4032232,-0.44340685,-0.99255216,-0.81206447,-0.5055795,-1.0603107,-1.0427573,-0.9792948,-1.0842676,-1.1011467,-1.2957274,-0.8867085,-0.3477056,-0.31753778,-0.9495961,-0.34166768,-0.6664986,-0.95382196,-0.09920612,-0.9210633,-0.9229886,0.13848159,-1.0749216
ஙி,45,0.7205802,0.1955274,0.22599955,0.4382091,0.18833545,-0.3177944,-0.039325014,0.38631713,-1.0203153,-0.50334,0.66681755,-1.4178159,-0.8270489,0.94700915,-1.6974978,0.31914487,1.1010425,-0.26142287,0.17759171,0.99907875,-0.35005328,0.18422288,0.95172536,-0.5748815,0.21027306,0.99942166,-0.67718923,0.5423138,1.2277219,-0.18720211,0.5215467,1.1329122,0.054292105,0.5263314,1.0074656,0.01695739,0.53233147,1.0241613,-0.13887925,0.6998478,1.2599179,-0.07930183,0.7138795,1.1372317,0.21170194,0.68269575,0.9801317,0.31659418,0.6416763,0.9556923,0.27650848,0.8096821,1.2225277,-0.01978302,0.81860584,1.282271,0.41291356,0.80199873,1.278055,0.7173673,0.7721177,1.2961265,0.7792092
லை,183,1.6725672,1.780643,-1.7945445,1.478584,1.7471017,-0.7807358,1.3344096,1.3254895,-0.25432056,1.1289065,0.88704205,0.029851561,0.78927016,0.5081882,0.28313783,1.657655,1.188657,0.31176013,1.5190384,1.6907042,0.20968705,1.5331293,2.0199995,0.29692075,1.6241105,1.8813797,0.35320652,1.6813018,1.4430956,0.4552393,1.484805,1.7710351,0.5092649,1.4160948,1.8162856,0.81139165,1.4607623,1.615191,0.9259728,1.655137,1.7135308,0.45277804,1.4642531,2.0297172,0.5039193,1.4085509,1.9687481,0.91668856,1.463707,1.6500618,1.0557591,1.5954425,1.9459363,0.3577601,1.4271086,2.2693105,0.58234465,1.3500618,2.2407773,0.8562077,1.3667238,2.0191593,0.9666051
தே,110,0.8599158,1.1581832,0.85084033,0.63065416,1.0585706,-0.64275694,0.34604198,0.66331357,-0.4043022,0.064130194,0.24925797,-0.24146476,-0.24036232,-0.061651528,-0.21746138,0.65629876,0.6559986,-0.53444743,0.6245454,-0.028806075,-0.40377548,0.58956146,-0.41969022,-0.37339988,0.5579071,-0.63277835,-0.42999205,0.85583645,0.72172636,-0.63802546,0.98581076,-0.17615297,-0.3518173,1.0675588,-0.5815445,-0.46204466,1.1191535,-0.7518853,-0.6266059,0.9634075,0.8263399,-0.7606839,1.1180806,-0.03012058,-0.6841578,1.213654,-0.57652456,-1.0520436,1.2728046,-0.865947,-1.3184524,1.0347346,0.9656241,-0.8349242,1.2168083,0.5269484,-1.0797361,1.3388801,0.1548355,-1.4005861,1.4218577,-0.08352375,-1.614181
ர்,24,-0.6119727,1.777364,0.17068672,-0.28493372,1.6914164,1.2445307,0.024009304,1.5349764,0.76186275,0.4633126,1.2640051,0.19574778,0.758275,1.0966395,-0.12005009,-0.2146606,0.9605316,0.76451796,-0.14912462,0.3593375,-0.07889804,-0.010874287,0.5496391,-0.51871717,0.095975816,0.8106869,-0.63783586,-0.34692803,0.9547211,0.114750415,-0.38608986,0.0047224057,-0.60588175,-0.38130724,-0.4385943,-1.2601221,-0.40430555,-0.588467,-1.6293157,-0.42595863,1.0522993,-0.556355,-0.49087995,0.3142311,-1.2146115,-0.32131326,0.6481635,-1.4018297,-0.1886729,0.9417288,-1.2452744,-0.4991175,1.1726162,-1.1321024,-0.50174266,0.62285924,-1.3615308,-0.36497605,0.87664497,-1.228703,-0.24701847,1.1626018,-1.0168437
